epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,351.773,0.45258,0.20176,0.0063,0.97399,0.9629,0.99183,0.8352,0.55409,0.23865,0.00826,0.00134794,0.00134794,0.00134794
60,357.097,0.46432,0.1879,0.00635,0.98493,0.97353,0.9944,0.85757,0.50358,0.20991,0.00766,0.00134244,0.00134244,0.00134244
61,362.184,0.42067,0.17726,0.00578,0.94816,0.98462,0.99128,0.83169,0.55962,0.23263,0.008,0.00133693,0.00133693,0.00133693
62,367.207,0.46656,0.18756,0.00637,0.98334,0.9629,0.99176,0.82187,0.60001,0.23722,0.00906,0.00133143,0.00133143,0.00133143
63,372.216,0.42002,0.18986,0.00576,0.98742,0.95786,0.99338,0.82264,0.61212,0.2293,0.00895,0.00132593,0.00132593,0.00132593
64,377.712,0.44701,0.19303,0.00599,0.98308,0.881,0.9857,0.83567,0.55085,0.2565,0.00761,0.00132043,0.00132043,0.00132043
65,383.017,0.46273,0.18881,0.00627,0.99233,0.9848,0.99492,0.83526,0.52754,0.19861,0.00844,0.00131493,0.00131493,0.00131493
66,388.578,0.47499,0.1932,0.00644,0.98474,0.99422,0.995,0.80273,0.61147,0.20014,0.00987,0.00130943,0.00130943,0.00130943
67,393.878,0.41818,0.17573,0.00562,0.99509,0.98682,0.995,0.81764,0.56937,0.19221,0.00803,0.00130393,0.00130393,0.00130393
68,398.967,0.38973,0.1676,0.00525,0.96642,0.9667,0.99354,0.84931,0.49341,0.19732,0.00692,0.00129843,0.00129843,0.00129843
69,404.199,0.42141,0.1747,0.00563,0.98212,0.99231,0.99463,0.86156,0.46098,0.2009,0.00719,0.00129293,0.00129293,0.00129293
70,409.209,0.41063,0.17045,0.00531,0.95199,0.97059,0.98243,0.85668,0.44325,0.20249,0.00652,0.00128742,0.00128742,0.00128742
71,414.429,0.50086,0.18888,0.0064,0.92998,0.97059,0.98541,0.81727,0.72448,0.28024,0.00956,0.00128192,0.00128192,0.00128192
72,419.337,0.52171,0.215,0.00654,0.96284,0.98949,0.99338,0.87535,0.48861,0.19075,0.007,0.00127642,0.00127642,0.00127642
73,424.218,0.45905,0.1987,0.00597,0.99261,0.97692,0.99405,0.86339,0.5152,0.2043,0.00771,0.00127092,0.00127092,0.00127092
74,429.316,0.48712,0.20721,0.00632,0.99637,0.96397,0.99,0.84981,0.57744,0.19166,0.00908,0.00126542,0.00126542,0.00126542
75,434.339,0.45342,0.19433,0.00614,0.96747,0.99231,0.98861,0.83465,0.61877,0.21456,0.00945,0.00125992,0.00125992,0.00125992
76,439.351,0.49673,0.19583,0.0067,0.98954,0.97692,0.99426,0.8873,0.43769,0.17851,0.00644,0.00125442,0.00125442,0.00125442
77,444.889,0.43367,0.17714,0.00572,0.99527,0.96002,0.99354,0.87031,0.53404,0.20795,0.00758,0.00124892,0.00124892,0.00124892
78,449.889,0.39712,0.16582,0.00517,0.98778,0.96645,0.99316,0.85923,0.53781,0.20455,0.0079,0.00124342,0.00124342,0.00124342
